Iteration,xl,xu,xm,absolute relative approximate error,f(xm)
0,0,0.11,0.055,inf,6.654999999999996e-05
1,0.055,0.11,0.0825,33.333333333333336,-0.00016221562500000006
2,0.055,0.0825,0.06875,19.999999999999996,-5.563164062500009e-05
3,0.055,0.06875,0.061875,11.111111111111121,4.484326171874957e-06
4,0.061875,0.06875,0.0653125,5.263157894736836,-2.5939227294921813e-05
5,0.061875,0.0653125,0.06359375,2.7027027027026884,-1.0803610992431655e-05
6,0.061875,0.06359375,0.06273437500000001,1.369863013698623,-3.1767785072328255e-06
7,0.061875,0.06273437500000001,0.062304687500000004,0.6896551724138006,6.497278094290708e-07
8,0.062304687500000004,0.06273437500000001,0.06251953125000001,0.34364261168385807,-1.2645666047932016e-06
9,0.062304687500000004,0.06251953125000001,0.06241210937500001,0.17211703958691818,-3.0767599288380326e-07
